filename, language, Properties, YAML, HTML, Makefile, Markdown, pip requirements, Python, Ini, JSON, Shell Script, JavaScript React, TypeScript, CSS, JavaScript, comment, blank, total
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\dal\model_table.py, Python, 0, 0, 0, 0, 0, 0, 165, 0, 0, 0, 0, 0, 0, 0, 8, 32, 205
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\dal\rack_table.py, Python, 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 6, 20, 102
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\dal\routes.py, Python, 0, 0, 0, 0, 0, 0, 130, 0, 0, 0, 0, 0, 0, 0, 8, 39, 177
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\dal\user_table.py, Python, 0, 0, 0, 0, 0, 0, 125, 0, 0, 0, 0, 0, 0, 0, 9, 19, 153
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\data_models\__init__.py, Python, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\data_models\change_plan.py, Python, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 10, 8, 49
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\data_models\change_plan_action.py, Python, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 10, 7, 46
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\data_models\datacenter.py, Python, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 8, 5, 24
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\data_models\decommission.py, Python, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 11, 7, 73
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\data_models\instance.py, Python, 0, 0, 0, 0, 0, 0, 126, 0, 0, 0, 0, 0, 0, 0, 71, 35, 232
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\data_models\model.py, Python, 0, 0, 0, 0, 0, 0, 203, 0, 0, 0, 0, 0, 0, 0, 18, 36, 257
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\data_models\permission.py, Python, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 6, 8, 54
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\data_models\rack.py, Python, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 6, 7, 33
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\data_models\user.py, Python, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 12, 9, 70
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\datacenters\DatacenterAPI.md, Markdown, 0, 0, 0, 0, 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 104
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\datacenters\__init__.py, Python, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\datacenters\datacenter_manager.py, Python, 0, 0, 0, 0, 0, 0, 97, 0, 0, 0, 0, 0, 0, 0, 0, 18, 115
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\datacenters\datacenter_validator.py, Python, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 20, 70
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\datacenters\routes_datacenters.py, Python, 0, 0, 0, 0, 0, 0, 103, 0, 0, 0, 0, 0, 0, 0, 5, 25, 133
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\decommissions\DecommissionsAPI.md, Markdown, 0, 0, 0, 0, 130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 134
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\decommissions\__init__.py, Python, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\decommissions\decommission_manager.py, Python, 0, 0, 0, 0, 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 13, 106
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\decommissions\routes_decommissions.py, Python, 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 5, 19, 84
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\decorators\__init__.py, Python, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\decorators\auth.py, Python, 0, 0, 0, 0, 0, 0, 164, 0, 0, 0, 0, 0, 0, 0, 18, 34, 216
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\decorators\logs.py, Python, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 5, 8, 42
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\exceptions\BackupExceptions.py, Python, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\exceptions\InvalidInputsException.py, Python, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\exceptions\UserExceptions.py, Python, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 23, 59
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\exceptions\__init__.py, Python, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\import_export\__init__.py, Python, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\import_export\routes.py, Python, 0, 0, 0, 0, 0, 0, 346, 0, 0, 0, 0, 0, 0, 0, 63, 104, 513
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\instances\InstancesAPI.md, Markdown, 0, 0, 0, 0, 270, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 272
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\instances\__init__.py, Python, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\instances\asset_num.json, JSON, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\instances\asset_num_generator.py, Python, 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 16, 69
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\instances\barcode_generator.py, Python, 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 16, 76
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\instances\instance_manager.py, Python, 0, 0, 0, 0, 0, 0, 402, 0, 0, 0, 0, 0, 0, 0, 4, 64, 470
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\instances\instance_validator.py, Python, 0, 0, 0, 0, 0, 0, 226, 0, 0, 0, 0, 0, 0, 0, 0, 48, 274
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\instances\routes_instances.py, Python, 0, 0, 0, 0, 0, 0, 211, 0, 0, 0, 0, 0, 0, 0, 27, 44, 282
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\logging\__init__.py, Python, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\logging\logger.py, Python, 0, 0, 0, 0, 0, 0, 209, 0, 0, 0, 0, 0, 0, 0, 27, 77, 313
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\logging\routes_logging.py, Python, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 3, 13, 46
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\main\__init__.py, Python, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\main\types.py, Python, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\models\ModelsAPI.md, Markdown, 0, 0, 0, 0, 218, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 220
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\models\__init__.py, Python, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\models\model_manager.py, Python, 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 9, 20, 151
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\models\model_validator.py, Python, 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 15, 78
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\models\routes_models.py, Python, 0, 0, 0, 0, 0, 0, 139, 0, 0, 0, 0, 0, 0, 0, 6, 38, 183
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\permissions\__init__.py, Python, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\permissions\permissions_constants.py, Python, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\permissions\permissions_manager.py, Python, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 6, 31
